method,label,highlight_psnr,highlight_rmse,highlight_mask_iou,highlight_area_abs_error,highlight_saturated_ratio_abs_error,highlight_p95_luma_abs_error
abl05_full_main,Abl. Full Main,18.5782,0.1258,0.6389,0.0126,0.1036,0.0265
abl03_blur,Abl. Blur,18.5422,0.1263,0.6429,0.0128,0.1031,0.0267
abl04_relative,Abl. Relative,18.5214,0.1262,0.6403,0.0129,0.1011,0.0258
abl01_imgspace_fixed,Abl. ImgSpace Fixed,18.3134,0.1290,0.6429,0.0132,0.0977,0.0255
abl02_quantile,Abl. Quantile,18.2262,0.1302,0.6364,0.0139,0.1086,0.0274
abl00_base,Abl. Base,17.4451,0.1406,0.6498,0.0117,0.0825,0.0227
