sample_key,preset,object_id,view_idx,target_file,mask_source,method,fg_psnr,fg_rmse,foreground_mse,foreground_psnr,foreground_ssim,full_mse,full_psnr,full_ssim,gt_highlight_area_in_fg,gt_highlight_saturated_ratio,highlight_area_abs_error,highlight_centroid_distance,highlight_chroma_l1_on_gt_mask,highlight_crop_ssim,highlight_mae,highlight_mask_iou,highlight_mse,highlight_mse_ratio,highlight_p95_luma_abs_error,highlight_p99_luma_abs_error,highlight_psnr,highlight_rmse,highlight_saturated_ratio_abs_error,lpips_foreground,lpips_full,lpips_highlight_crop,non_highlight_mse,non_highlight_psnr,pred_highlight_area_in_fg,pred_highlight_saturated_ratio,union_highlight_coverage_in_fg
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_metal_rough_spheres_no_textures_v000_t002,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_metal_rough_spheres_no_textures,0,000_002_interior.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_metal_rough_spheres_no_textures/000_002_interior.png,baseline,9.138590568141163,0.3491969739708545,0.12193852663040161,9.138590568141163,0.18709138257366809,0.12193852663040161,9.138590568141163,0.18709138257366809,0.1345367431640625,0.0012759441742673516,0.012485504150390625,0.041695424593971436,0.03075658343732357,0.18709138257366809,0.22414198517799377,0.3698627347154902,0.08586910367012024,0.6732426443468186,0.15154004096984863,0.14542120695114136,10.661630703859231,0.2930343045961006,0.0012192355425213464,0.5637449622154236,0.5637449622154236,0.5637449622154236,0.1275455504655838,8.943346875202865,0.12205123901367188,5.670863174600527e-05,0.18730926513671875
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_transmission_test_v000_t014,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_transmission_test,0,000_014_city.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_transmission_test/000_014_city.png,baseline,3.6796337225580644,0.6546637801650885,0.42858466506004333,3.6796337225580644,0.07413494289893172,0.42858466506004333,3.6796337225580644,0.07413494289893172,0.14545059204101562,5.245351349003613e-05,0.07509613037109375,0.20066214835614646,0.15375550091266632,0.07413494289893172,0.47640690207481384,0.19779800973957232,0.29684779047966003,0.6581886897282335,0.11480444669723511,0.05508023500442505,5.27466179300033,0.5448373982021242,5.245351349003613e-05,0.8085480332374573,0.8085480332374573,0.8085480332374573,0.4510071277618408,3.458165944342912,0.07035446166992188,0.0,0.18016815185546875
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_glass_hurricane_candle_holder_v000_t002,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_glass_hurricane_candle_holder,0,000_002_studio.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_glass_hurricane_candle_holder/000_002_studio.png,baseline,16.448031384752095,0.15052146298255914,0.02265671081840992,16.448031384752095,0.3320513627336375,0.02265671081840992,16.448031384752095,0.3320513627336375,0.08492279052734375,0.04222441837191582,0.050006866455078125,0.05702552773999918,0.09211057424545288,0.3318879243195822,0.22185872495174408,0.2499502645923686,0.0618637278676033,3.25287785570894,0.04352492094039917,0.13915294408798218,12.085639132441122,0.2487242004059985,0.04222441837191582,0.4236600697040558,0.4236600697040558,0.4254765510559082,0.019018152728676796,17.208316692442164,0.034915924072265625,0.0,0.09587478637695312
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_diffuse_transmission_teacup_v000_t001,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_diffuse_transmission_teacup,0,000_001_courtyard.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_diffuse_transmission_teacup/000_001_courtyard.png,baseline,5.851246972400583,0.5098443975277903,0.25994130969047546,5.851246972400583,0.15487538950892277,0.25994130969047546,5.851246972400583,0.15487538950892277,0.13105010986328125,0.00634569488465786,0.07519912719726562,0.07942223061856744,0.13777470588684082,0.15487538950892277,0.4686730206012726,0.1749400479616307,0.2965359389781952,1.1655266285150687,0.1347254514694214,0.1566416621208191,5.2792266434337005,0.5445511353199028,0.00634569488465786,0.7959269881248474,0.7959269881248474,0.7959269881248474,0.25442227721214294,5.944448645380588,0.055850982666015625,0.0,0.1590728759765625
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_chronograph_watch_v000_t014,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_chronograph_watch,0,000_014_white_studio_02.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_chronograph_watch/000_014_white_studio_02.png,baseline,4.784529400260746,0.5764657774227335,0.33231279253959656,4.784529400260746,0.14132370638306513,0.33231279253959656,4.784529400260746,0.14132370638306513,0.10995101928710938,0.00013877806486561894,0.025630950927734375,0.05414398484828926,0.011516720056533813,0.19810074922495313,0.22213484346866608,0.2995228252826048,0.10942909866571426,0.30409935577996705,0.003415703773498535,0.010046541690826416,9.608671779150587,0.3308006932666772,0.0020469764131121337,0.6083023548126221,0.6083023548126221,0.570303201675415,0.3598465323448181,4.438826780279451,0.084320068359375,0.0021857544779777527,0.14949417114257812
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_anisotropy_barn_lamp_v000_t002,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_anisotropy_barn_lamp,0,000_002_white_studio_01.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_anisotropy_barn_lamp/000_002_white_studio_01.png,baseline,7.656109608101337,0.4141851459457575,0.17154933512210846,7.656109608101337,0.5445098878232687,0.17154933512210846,7.656109608101337,0.5445098878232687,0.06910324096679688,0.007010764442384243,0.016223907470703125,0.13956082412273962,0.04292130470275879,0.5391242873246914,0.3450513184070587,0.12412993039443156,0.14846020936965942,0.8568473509017929,0.17698824405670166,0.030509591102600098,8.28389931308434,0.38530534562819063,0.00805961899459362,0.47765985131263733,0.47765985131263733,0.5035345554351807,0.1732633113861084,7.612933896774518,0.05287933349609375,0.015070383436977863,0.10851287841796875
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_toy_car_v000_t004,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_toy_car,0,000_004_photo_studio_01.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_toy_car/000_004_photo_studio_01.png,baseline,5.96563350047793,0.5031741538826426,0.2531842291355133,5.96563350047793,0.39164544989431,0.2531842291355133,5.96563350047793,0.39164544989431,0.08693313598632812,0.0007459739572368562,0.021732330322265625,0.037703471169481986,0.053100358694791794,0.39164544989431,0.461898535490036,0.1302856818954767,0.24458809196949005,0.9629354966940876,0.1391262412071228,0.17455345392227173,6.115646908722231,0.49455848184971013,0.06468033097917214,0.675470232963562,0.675470232963562,0.675470232963562,0.25400257110595703,5.951618872718805,0.0652008056640625,0.065426304936409,0.1345977783203125
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_specular_silk_pouf_v000_t014,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_specular_silk_pouf,0,000_014_white_studio_05.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_specular_silk_pouf/000_014_white_studio_05.png,baseline,4.433860632305002,0.6002151709417249,0.3602582514286041,4.433860632305002,0.2100390060559878,0.3602582514286041,4.433860632305002,0.2100390060559878,0.0744781494140625,0.0,0.009456634521484375,0.006532634459345478,0.01791604422032833,0.21538504242299047,0.45051783323287964,0.22220914147805867,0.22470404207706451,0.6053994838562766,0.05652725696563721,0.07517105340957642,6.483891152267299,0.4740295793271392,0.0,0.6558564901351929,0.6558564901351929,0.633648693561554,0.37116655707359314,4.304311615822254,0.08393478393554688,0.0,0.12961196899414062
highlight_test_samebatch_onehdri_highlight_test_samples__gso_threshold_porcelain_teapot_white_v000_t001,highlight_test_samebatch_onehdri,highlight_test_samples__gso_threshold_porcelain_teapot_white,0,000_001_studio_small_08.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/gso_threshold_porcelain_teapot_white/000_001_studio_small_08.png,baseline,3.939698562128453,0.6353529809607014,0.4036734104156494,3.939698562128453,0.2786865628756997,0.4036734104156494,3.939698562128453,0.2786865628756997,0.0185089111328125,0.0,0.026592254638671875,0.030211340432780533,0.030981561169028282,0.5006832972150543,0.2948833107948303,0.18019675844008776,0.15663085877895355,0.38358689831580867,0.00016862154006958008,0.018850207328796387,8.051226709042114,0.3957661667941735,0.0,0.5990587472915649,0.5990587472915649,0.5042713284492493,0.40833213925361633,3.889864360182711,0.045101165771484375,0.0,0.053897857666015625
highlight_test_samebatch_onehdri_highlight_test_samples__gso_threshold_porcelain_serving_bowl_coupe_white_v000_t003,highlight_test_samebatch_onehdri,highlight_test_samples__gso_threshold_porcelain_serving_bowl_coupe_white,0,000_003_photo_studio_loft_hall.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/gso_threshold_porcelain_serving_bowl_coupe_white/000_003_photo_studio_loft_hall.png,baseline,8.579675135559109,0.37240563448654773,0.13868595659732819,8.579675135559109,0.2801881601738631,0.13868595659732819,8.579675135559109,0.2801881601738631,0.12571334838867188,0.2613867521286011,0.089691162109375,0.11342304837308687,0.22395499050617218,0.2801881601738631,0.5674165487289429,0.14524188973825666,0.4428960978984833,4.6648267737612095,0.2144557237625122,0.14017117023468018,3.536981460160357,0.6655043935981815,0.2613867521286011,0.6021685600280762,0.6021685600280762,0.6021685600280762,0.09494373947381973,10.225336670682331,0.036022186279296875,0.0,0.14122390747070312
