sample_key,preset,object_id,view_idx,target_file,mask_source,method,fg_psnr,fg_rmse,foreground_mse,foreground_psnr,foreground_ssim,full_mse,full_psnr,full_ssim,gt_highlight_area_in_fg,gt_highlight_saturated_ratio,highlight_area_abs_error,highlight_centroid_distance,highlight_chroma_l1_on_gt_mask,highlight_crop_ssim,highlight_mae,highlight_mask_iou,highlight_mse,highlight_mse_ratio,highlight_p95_luma_abs_error,highlight_p99_luma_abs_error,highlight_psnr,highlight_rmse,highlight_saturated_ratio_abs_error,lpips_foreground,lpips_full,lpips_highlight_crop,non_highlight_mse,non_highlight_psnr,pred_highlight_area_in_fg,pred_highlight_saturated_ratio,union_highlight_coverage_in_fg
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_diffuse_transmission_teacup_v000_t001,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_diffuse_transmission_teacup,0,000_001_courtyard.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_diffuse_transmission_teacup/000_001_courtyard.png,baseline,5.851246972400583,0.5098443975277903,0.25994130969047546,5.851246972400583,0.15487538950892277,0.25994130969047546,5.851246972400583,0.15487538950892277,0.13105010986328125,0.00634569488465786,0.07519912719726562,0.07942223061856744,0.13777470588684082,0.15487538950892277,0.4686730206012726,0.1749400479616307,0.2965359389781952,1.1655266285150687,0.1347254514694214,0.1566416621208191,5.2792266434337005,0.5445511353199028,0.00634569488465786,0.7959269881248474,0.7959269881248474,0.7959269881248474,0.25442227721214294,5.944448645380588,0.055850982666015625,0.0,0.1590728759765625
highlight_test_samebatch_onehdri_highlight_test_samples__gso_top_paw_dog_bowl_blue_paw_bone_ceramic_v000_t010,highlight_test_samebatch_onehdri,highlight_test_samples__gso_top_paw_dog_bowl_blue_paw_bone_ceramic,0,000_010_brown_photostudio_02.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/gso_top_paw_dog_bowl_blue_paw_bone_ceramic/000_010_brown_photostudio_02.png,baseline,8.011450251757005,0.3975827079774161,0.15807200968265533,8.011450251757005,0.2622637585257962,0.15807200968265533,8.011450251757005,0.2622637585257962,0.12735366821289062,0.0,0.08281326293945312,0.09946123716975233,0.15793882310390472,0.2622637585257962,0.32891303300857544,0.2223578559027778,0.14039497077465057,0.8739082230738928,0.043897151947021484,0.06083500385284424,8.52648449214316,0.37469316883905235,0.0074284859001636505,0.6320981383323669,0.6320981383323669,0.6320981383323669,0.16065184772014618,7.941142750919284,0.0445404052734375,0.0074284859001636505,0.140625
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_transmission_test_v000_t014,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_transmission_test,0,000_014_city.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_transmission_test/000_014_city.png,baseline,3.6796337225580644,0.6546637801650885,0.42858466506004333,3.6796337225580644,0.07413494289893172,0.42858466506004333,3.6796337225580644,0.07413494289893172,0.14545059204101562,5.245351349003613e-05,0.07509613037109375,0.20066214835614646,0.15375550091266632,0.07413494289893172,0.47640690207481384,0.19779800973957232,0.29684779047966003,0.6581886897282335,0.11480444669723511,0.05508023500442505,5.27466179300033,0.5448373982021242,5.245351349003613e-05,0.8085480332374573,0.8085480332374573,0.8085480332374573,0.4510071277618408,3.458165944342912,0.07035446166992188,0.0,0.18016815185546875
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_metal_rough_spheres_no_textures_v000_t002,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_metal_rough_spheres_no_textures,0,000_002_interior.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_metal_rough_spheres_no_textures/000_002_interior.png,baseline,9.138590568141163,0.3491969739708545,0.12193852663040161,9.138590568141163,0.18709138257366809,0.12193852663040161,9.138590568141163,0.18709138257366809,0.1345367431640625,0.0012759441742673516,0.012485504150390625,0.041695424593971436,0.03075658343732357,0.18709138257366809,0.22414198517799377,0.3698627347154902,0.08586910367012024,0.6732426443468186,0.15154004096984863,0.14542120695114136,10.661630703859231,0.2930343045961006,0.0012192355425213464,0.5637449622154236,0.5637449622154236,0.5637449622154236,0.1275455504655838,8.943346875202865,0.12205123901367188,5.670863174600527e-05,0.18730926513671875
highlight_test_samebatch_onehdri_highlight_test_samples__gso_threshold_porcelain_serving_bowl_coupe_white_v000_t003,highlight_test_samebatch_onehdri,highlight_test_samples__gso_threshold_porcelain_serving_bowl_coupe_white,0,000_003_photo_studio_loft_hall.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/gso_threshold_porcelain_serving_bowl_coupe_white/000_003_photo_studio_loft_hall.png,baseline,8.579675135559109,0.37240563448654773,0.13868595659732819,8.579675135559109,0.2801881601738631,0.13868595659732819,8.579675135559109,0.2801881601738631,0.12571334838867188,0.2613867521286011,0.089691162109375,0.11342304837308687,0.22395499050617218,0.2801881601738631,0.5674165487289429,0.14524188973825666,0.4428960978984833,4.6648267737612095,0.2144557237625122,0.14017117023468018,3.536981460160357,0.6655043935981815,0.2613867521286011,0.6021685600280762,0.6021685600280762,0.6021685600280762,0.09494373947381973,10.225336670682331,0.036022186279296875,0.0,0.14122390747070312
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_diffuse_transmission_teacup_v000_t001,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_diffuse_transmission_teacup,0,000_001_courtyard.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_diffuse_transmission_teacup/000_001_courtyard.png,dilightnet,6.346455226487723,0.4815897541143989,0.23192869126796722,6.346455226487723,0.5944663327755596,0.23192869126796722,6.346455226487723,0.5944663327755596,0.13105010986328125,0.00634569488465786,0.6712112426757812,0.02614823129339777,0.03200792148709297,0.5944663327755596,0.38607531785964966,0.12154133890753066,0.17131321132183075,0.7106355986394083,0.11234116554260254,0.049713730812072754,7.662091438475196,0.4139000015967996,0.6993363443762064,0.7535043954849243,0.7535043954849243,0.7535043954849243,0.24107040464878082,6.178561031300395,0.8022613525390625,0.7056820392608643,0.8321685791015625
highlight_test_samebatch_onehdri_highlight_test_samples__gso_top_paw_dog_bowl_blue_paw_bone_ceramic_v000_t010,highlight_test_samebatch_onehdri,highlight_test_samples__gso_top_paw_dog_bowl_blue_paw_bone_ceramic,0,000_010_brown_photostudio_02.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/gso_top_paw_dog_bowl_blue_paw_bone_ceramic/000_010_brown_photostudio_02.png,dilightnet,5.448922780660067,0.5340154977810533,0.28517255187034607,5.448922780660067,0.5981321069026292,0.28517255187034607,5.448922780660067,0.5981321069026292,0.12735366821289062,0.0,0.6006622314453125,0.05985347266103116,0.01975332759320736,0.5981321069026292,0.5108338594436646,0.1252628356643532,0.2728017568588257,0.9506019130409317,0.18503916263580322,0.16543138027191162,5.641528371253952,0.5223042761253498,0.6872547268867493,0.5912796854972839,0.5912796854972839,0.5912796854972839,0.2869779169559479,5.421515210819092,0.7280158996582031,0.6872547268867493,0.7601509094238281
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_transmission_test_v000_t014,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_transmission_test,0,000_014_city.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_transmission_test/000_014_city.png,dilightnet,9.387133077329006,0.33934647802065565,0.11515603214502335,9.387133077329006,0.6838714673071025,0.11515603214502335,9.387133077329006,0.6838714673071025,0.14545059204101562,5.245351349003613e-05,0.740020751953125,0.2184726870141111,0.005809893365949392,0.6838714673071025,0.3523123264312744,0.13404614235478754,0.13448771834373474,1.202225363956742,0.18391084671020508,0.14799028635025024,8.713173743908357,0.36672567178169396,0.6617797598883044,0.5246037244796753,0.5246037244796753,0.5246037244796753,0.11186564713716507,9.513032606504941,0.8854713439941406,0.6618322134017944,0.9090652465820312
highlight_test_samebatch_onehdri_highlight_test_samples__khronos_metal_rough_spheres_no_textures_v000_t002,highlight_test_samebatch_onehdri,highlight_test_samples__khronos_metal_rough_spheres_no_textures,0,000_002_interior.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/khronos_metal_rough_spheres_no_textures/000_002_interior.png,dilightnet,4.943988792179008,0.565979316552548,0.3203325867652893,4.943988792179008,0.35322914869160355,0.3203325867652893,4.943988792179008,0.35322914869160355,0.1345367431640625,0.0012759441742673516,0.5863151550292969,0.0517800844619003,0.008866469375789165,0.35322914869160355,0.3294651210308075,0.042405619372143946,0.13095776736736298,0.37441002824809416,0.1710488200187683,0.09135288000106812,8.828687375996244,0.3618808745531642,0.24909265094902366,0.6085013151168823,0.6085013151168823,0.6085013151168823,0.34977099299430847,4.5621621002275585,0.7208518981933594,0.250368595123291,0.8205909729003906
highlight_test_samebatch_onehdri_highlight_test_samples__gso_threshold_porcelain_serving_bowl_coupe_white_v000_t003,highlight_test_samebatch_onehdri,highlight_test_samples__gso_threshold_porcelain_serving_bowl_coupe_white,0,000_003_photo_studio_loft_hall.png,/4T/CXY/Neural_Gaffer_original/external_sources/render_raw/highlight_test_samples/gso_threshold_porcelain_serving_bowl_coupe_white/000_003_photo_studio_loft_hall.png,dilightnet,4.60530645209513,0.5884840242183109,0.3463134467601776,4.60530645209513,0.5519343017677232,0.3463134467601776,4.60530645209513,0.5519343017677232,0.12571334838867188,0.2613867521286011,0.5785408020019531,0.11254483448603433,0.014575541019439697,0.5519343017677232,0.2893226444721222,0.14076361653488811,0.15736077725887299,0.42133340536225533,0.0,0.0,8.031035079539594,0.39668725371364405,0.5352450013160706,0.6188978552818298,0.6188978552818298,0.6188978552818298,0.3734827935695648,4.277294014253483,0.704254150390625,0.7966317534446716,0.7275543212890625
